"","From","To","Species","Gene.Name"
"1","entB",7151226,"Escherichia coli IAI39","isochorismatase(entB)"
"2","entB",946178,"Escherichia coli str. K-12 substr. MG1655","isochorismatase(entB)"
"3","entB",7156252,"Escherichia coli UMN026","isochorismatase(entB)"
"4","entA",7156249,"Escherichia coli UMN026","2,3-dihydroxybenzoate-2,3-dehydrogenase(entA)"
"5","entA",7151223,"Escherichia coli IAI39","2,3-dihydroxybenzoate-2,3-dehydrogenase(entA)"
"6","entA",945284,"Escherichia coli str. K-12 substr. MG1655","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase(entA)"
"7","tolA",7153000,"Escherichia coli IAI39","cell envelope integrity inner membrane protein TolA(tolA)"
"8","tolA",13701894,"Escherichia coli O104:H4 str. 2011C-3493","cell envelope integrity inner membrane protein TolA(tolA)"
"9","tolA",946625,"Escherichia coli str. K-12 substr. MG1655","membrane anchored protein in TolA-TolQ-TolR complex(tolA)"
"10","tolA",7158085,"Escherichia coli UMN026","cell envelope integrity inner membrane protein TolA(tolA)"
"11","tolA",917507,"Escherichia coli O157:H7 str. Sakai","cell envelope integrity inner membrane protein TolA(tolA)"
"12","tolA",12877067,"Escherichia coli O83:H1 str. NRG 857C","cell envelope integrity inner membrane protein TolA(tolA)"
"13","tolB",7158081,"Escherichia coli UMN026","translocation protein TolB(tolB)"
"14","tolB",12877068,"Escherichia coli O83:H1 str. NRG 857C","translocation protein TolB(tolB)"
"15","tolB",13701893,"Escherichia coli O104:H4 str. 2011C-3493","translocation protein TolB(tolB)"
"16","tolB",7152996,"Escherichia coli IAI39","translocation protein TolB(tolB)"
"17","tolB",917506,"Escherichia coli O157:H7 str. Sakai","translocation protein TolB(tolB)"
"18","tolB",945429,"Escherichia coli str. K-12 substr. MG1655","periplasmic protein(tolB)"
"19","entF",13702203,"Escherichia coli O104:H4 str. 2011C-3493","enterobactin synthase subunit F(entF)"
"20","entF",7158400,"Escherichia coli UMN026","enterobactin synthase subunit F(entF)"
"21","entF",12874772,"Escherichia coli O83:H1 str. NRG 857C","enterobactin synthase subunit F(entF)"
"22","entF",916984,"Escherichia coli O157:H7 str. Sakai","enterobactin synthase subunit F(entF)"
"23","entF",7153314,"Escherichia coli IAI39","enterobactin synthase subunit F(entF)"
"24","entF",945184,"Escherichia coli str. K-12 substr. MG1655","enterobactin synthase multienzyme complex component, ATP-dependent(entF)"
"25","entE",13702195,"Escherichia coli O104:H4 str. 2011C-3493","enterobactin synthase subunit E(entE)"
"26","entE",916992,"Escherichia coli O157:H7 str. Sakai","enterobactin synthase subunit E(entE)"
"27","entE",7151224,"Escherichia coli IAI39","enterobactin synthase subunit E(entE)"
"28","entE",12874780,"Escherichia coli O83:H1 str. NRG 857C","enterobactin synthase subunit E(entE)"
"29","entE",7156250,"Escherichia coli UMN026","enterobactin synthase subunit E(entE)"
"30","entE",947426,"Escherichia coli str. K-12 substr. MG1655","2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex(entE)"
"31","entD",7156695,"Escherichia coli UMN026","phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex(entD)"
"32","entD",945194,"Escherichia coli str. K-12 substr. MG1655","phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex(entD)"
"33","entD",7153311,"Escherichia coli IAI39","phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex(entD)"
"34","entC",945511,"Escherichia coli str. K-12 substr. MG1655","isochorismate synthase 1(entC)"
"35","entC",7156334,"Escherichia coli UMN026","isochorismate synthase 1(entC)"
"36","entC",7151304,"Escherichia coli IAI39","isochorismate synthase 1(entC)"
"37","fes",7156333,"Escherichia coli UMN026","enterobactin/ferric enterobactin esterase(fes)"
"38","fes",7151303,"Escherichia coli IAI39","enterobactin/ferric enterobactin esterase(fes)"
"39","fes",945181,"Escherichia coli str. K-12 substr. MG1655","enterobactin/ferrienterobactin esterase(fes)"
"40","tolR",945328,"Escherichia coli str. K-12 substr. MG1655","membrane spanning protein in TolA-TolQ-TolR complex(tolR)"
"41","tolR",7152999,"Escherichia coli IAI39","colicin uptake protein TolR(tolR)"
"42","tolR",7158084,"Escherichia coli UMN026","colicin uptake protein TolR(tolR)"
"43","tolQ",948900,"Escherichia coli str. K-12 substr. MG1655","membrane spanning protein in TolA-TolQ-TolR complex(tolQ)"
"44","tolQ",7153331,"Escherichia coli IAI39","colicin uptake protein TolQ(tolQ)"
"45","tolQ",7158421,"Escherichia coli UMN026","colicin uptake protein TolQ(tolQ)"
"46","nei",945320,"Escherichia coli str. K-12 substr. MG1655","endonuclease VIII and 5-formyluracil/5-hydroxymethyluracil DNA glycosylase(nei)"
"47","nei",7158428,"Escherichia coli UMN026","endonuclease VIII(nei)"
"48","nei",7153338,"Escherichia coli IAI39","endonuclease VIII(nei)"
"49","caiT",7150894,"Escherichia coli IAI39","L-carnitine/gamma-butyrobetaine antiporter(caiT)"
"50","caiT",944765,"Escherichia coli str. K-12 substr. MG1655","putative transporter(caiT)"
"51","caiT",7155910,"Escherichia coli UMN026","L-carnitine/gamma-butyrobetaine antiporter(caiT)"
"52","mukE",7157200,"Escherichia coli UMN026","condesin subunit E(mukE)"
"53","mukE",945550,"Escherichia coli str. K-12 substr. MG1655","chromosome condensin MukBEF, MukE localization factor(mukE)"
"54","mukE",7152142,"Escherichia coli IAI39","condesin subunit E(mukE)"
"55","mukF",945548,"Escherichia coli str. K-12 substr. MG1655","chromosome condensin MukBEF, kleisin-like subunit, binds calcium(mukF)"
"56","mukF",7157944,"Escherichia coli UMN026","condesin subunit F(mukF)"
"57","mukF",7152143,"Escherichia coli IAI39","condesin subunit F(mukF)"
"58","ecpD",7151689,"Escherichia coli IAI39","putative chaperone protein EcpD(ecpD)"
"59","ecpD",947349,"Escherichia coli str. K-12 substr. MG1655","polymerized tip adhesin of ECP fibers(ecpD)"
"60","tonB",7158576,"Escherichia coli UMN026","transport protein TonB(tonB)"
"61","tonB",7153490,"Escherichia coli IAI39","transport protein TonB(tonB)"
"62","tonB",945843,"Escherichia coli str. K-12 substr. MG1655","membrane spanning protein in TonB-ExbB-ExbD transport complex(tonB)"
"63","speE",7152882,"Escherichia coli IAI39","spermidine synthase(speE)"
"64","speE",7157960,"Escherichia coli UMN026","spermidine synthase(speE)"
"65","speE",947726,"Escherichia coli str. K-12 substr. MG1655","spermidine synthase (putrescine aminopropyltransferase)(speE)"
"66","speD",947719,"Escherichia coli str. K-12 substr. MG1655","S-adenosylmethionine decarboxylase(speD)"
"67","speD",7158269,"Escherichia coli UMN026","S-adenosylmethionine decarboxylase(speD)"
"68","speD",7153201,"Escherichia coli IAI39","S-adenosylmethionine decarboxylase(speD)"
"69","speG",946117,"Escherichia coli str. K-12 substr. MG1655","spermidine N(1)-acetyltransferase(speG)"
"70","speG",7154418,"Escherichia coli IAI39","spermidine N1-acetyltransferase(speG)"
"71","speG",7159518,"Escherichia coli UMN026","spermidine N1-acetyltransferase(speG)"
"72","speF",945297,"Escherichia coli str. K-12 substr. MG1655","ornithine decarboxylase isozyme, inducible(speF)"
"73","speF",7152445,"Escherichia coli IAI39","ornithine decarboxylase(speF)"
"74","fdrA",7155729,"Escherichia coli UMN026","membrane protein FdrA(fdrA)"
"75","fdrA",7150717,"Escherichia coli IAI39","membrane protein FdrA(fdrA)"
"76","fdrA",946298,"Escherichia coli str. K-12 substr. MG1655","putative NAD(P)-binding acyl-CoA synthetase(fdrA)"
"77","fdrA",18252892,"Escherichia coli ACN001","FdrA protein(fdrA)"
"78","mukB",917753,"Escherichia coli O157:H7 str. Sakai","cell division protein MukB(mukB)"
"79","mukB",7157199,"Escherichia coli UMN026","cell division protein MukB(mukB)"
"80","mukB",945549,"Escherichia coli str. K-12 substr. MG1655","chromosome condensin MukBEF, ATPase and DNA-binding subunit(mukB)"
"81","mukB",12877414,"Escherichia coli O83:H1 str. NRG 857C","cell division protein MukB(mukB)"
"82","mukB",7153405,"Escherichia coli IAI39","cell division protein MukB(mukB)"
"83","mukB",13701401,"Escherichia coli O104:H4 str. 2011C-3493","cell division protein MukB(mukB)"
"84","caiA",949064,"Escherichia coli str. K-12 substr. MG1655","crotonobetaine reductase subunit II, FAD-binding(caiA)"
"85","caiA",7150895,"Escherichia coli IAI39","crotonobetainyl-CoA dehydrogenase(caiA)"
"86","caiA",7155911,"Escherichia coli UMN026","crotonobetainyl-CoA dehydrogenase(caiA)"
"87","caiB",7155912,"Escherichia coli UMN026","crotonobetainyl-CoA:carnitine CoA-transferase(caiB)"
