"sampleNum","dataSet","experiment","growthTime_hr","harvestDate","cellTotal","cellsPerTube","batchNumber","carbonSource","Mg_mM","Na_mM","growthPhase","Mg_mM_Levels","Na_mM_Levels","uniqueCondition","uniqueCondition02","doublingTimeMinutes","doublingTimeMinutes.95m","doublingTimeMinutes_95p","rSquared"
"16_0","MURI_016_0","glucose_time_course",3,"2/13/13",1.1e+10,2.2e+09,"008","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"17_0","MURI_017_0","glucose_time_course",4,"2/13/13",1.38e+10,2.76e+09,"008","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"18_0","MURI_018_0","glucose_time_course",5,"2/13/13",2.48e+08,49600000,"008","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"19_0","MURI_019_0","glucose_time_course",6,"2/13/13",5.8e+08,1.16e+08,"008","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"20_0","MURI_020_0","glucose_time_course",8,"2/13/13",7.88e+08,1.58e+08,"008","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"21_0","MURI_021_0","glucose_time_course",24,"2/14/13",7.76e+08,1.55e+08,"008","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",53.67995457,49.10029844,59.20179166,0.98493046
"22_0","MURI_022_0","glucose_time_course",48,"2/15/13",7.04e+08,1.41e+08,"008","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",53.67995457,49.10029844,59.20179166,0.98493046
"23_0","MURI_023_0","glucose_time_course",168,"2/20/13",6.16e+08,1.23e+08,"008","glucose",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_17","unique_condition_08",53.67995457,49.10029844,59.20179166,0.98493046
"24_0","MURI_024_0","glucose_time_course",336,"2/27/13",5.84e+08,1.17e+08,"008","glucose",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_17","unique_condition_08",53.67995457,49.10029844,59.20179166,0.98493046
"25_0","MURI_025_0","glucose_time_course",3,"2/20/13",1.4e+10,2.8e+09,"009","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"26_0","MURI_026_0","glucose_time_course",4,"2/20/13",1.74e+10,3.48e+09,"009","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"27_0","MURI_027_0","glucose_time_course",5,"2/20/13",2.44e+08,48800000,"009","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"28_0","MURI_028_0","glucose_time_course",6,"2/20/13",4.88e+08,97600000,"009","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"29_0","MURI_029_0","glucose_time_course",8,"2/20/13",7.92e+08,1.58e+08,"009","glucose",0.8,5,"exponential","baseMg","baseNa","unique_condition_07","unique_condition_02",53.67995457,49.10029844,59.20179166,0.98493046
"30_0","MURI_030_0","glucose_time_course",24,"2/21/13",7.8e+08,1.56e+08,"009","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",53.67995457,49.10029844,59.20179166,0.98493046
"31_0","MURI_031_0","glucose_time_course",48,"2/22/13",6.96e+08,1.39e+08,"009","glucose",0.8,5,"stationary","baseMg","baseNa","unique_condition_25","unique_condition_11",53.67995457,49.10029844,59.20179166,0.98493046
"32_0","MURI_032_0","glucose_time_course",168,"2/27/13",6.28e+08,1.26e+08,"009","glucose",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_17","unique_condition_08",53.67995457,49.10029844,59.20179166,0.98493046
"33_0","MURI_033_0","glucose_time_course",336,"3/6/13",5.72e+08,1.14e+08,"009","glucose",0.8,5,"late_stationary","baseMg","baseNa","unique_condition_17","unique_condition_08",53.67995457,49.10029844,59.20179166,0.98493046
"34_0","MURI_034_0","glycerol_time_course",5,"7/17/13",1.9e+08,1.9e+07,"010","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
"35_0","MURI_035_0","glycerol_time_course",7,"7/17/13",2.4e+08,2.4e+07,"010","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
"36_0","MURI_036_0","glycerol_time_course",8,"7/17/13",1.82e+08,18200000,"010","glycerol",0.8,5,"exponential","baseMg","baseNa","unique_condition_15","unique_condition_06",84.09256028,74.28728971,96.87985071,0.978655127
