"gene_Type","gene_ID","MURI_016","MURI_017","MURI_018","MURI_019","MURI_020","MURI_021","MURI_022","MURI_023","MURI_024","MURI_025","MURI_026","MURI_027","MURI_028","MURI_029","MURI_030","MURI_031","MURI_032","MURI_033","MURI_034","MURI_035","MURI_036","MURI_037","MURI_038","MURI_039","MURI_040","MURI_041","MURI_042","MURI_043","MURI_044","MURI_045","MURI_046","MURI_047","MURI_048","MURI_049","MURI_050","MURI_052","MURI_053","MURI_054","MURI_055","MURI_056","MURI_057","MURI_058","MURI_059","MURI_061","MURI_063","MURI_064","MURI_065","MURI_066","MURI_067","MURI_068","MURI_069","MURI_070","MURI_071","MURI_072","MURI_073","MURI_074","MURI_075","MURI_076","MURI_077","MURI_079","MURI_080","MURI_081","MURI_082","MURI_083","MURI_084","MURI_085","MURI_086","MURI_087","MURI_088","MURI_089","MURI_090","MURI_091","MURI_092","MURI_093","MURI_094","MURI_095","MURI_096","MURI_097","MURI_098","MURI_099","MURI_100","MURI_101","MURI_102","MURI_103","MURI_104","MURI_105","MURI_106","MURI_107","MURI_108","MURI_109","MURI_110","MURI_111","MURI_112","MURI_113","MURI_114","MURI_115","MURI_116","MURI_117","MURI_118","MURI_119","MURI_120","MURI_121","MURI_122","MURI_123","MURI_124","MURI_125","MURI_126","MURI_127","MURI_128","MURI_129","MURI_130","MURI_131","MURI_132","MURI_133","MURI_134","MURI_135","MURI_136","MURI_137","MURI_138","MURI_139","MURI_140","MURI_141","MURI_142","MURI_143","MURI_144","MURI_145","MURI_146","MURI_147","MURI_148","MURI_149","MURI_150","MURI_151","MURI_152","MURI_153","MURI_154","MURI_155","MURI_156","MURI_157","MURI_158","MURI_159","MURI_160","MURI_161","MURI_162","MURI_163","MURI_164","MURI_165","MURI_166","MURI_167","MURI_168","MURI_169","MURI_170","MURI_171"
"tRNA","ECB_t00001",2691,2642,53,1342,6936,9676,15489,1808,11586,11104,21076,23580,15924,18931,24015,87974,88756,65892,18511,38059,21402,9663,31987,54192,37422,12028,20587,43754,66421,8123,25072,22858,25896,5625,17066,62991,47616,18823,13188,60857,50399,25242,34097,83922,72836,11628,25103,92244,79974,24935,14814,29777,22150,14094,24870,6417,1828,39102,121181,8071,23137,66185,156891,5041,123900,118312,114250,35847,23023,22705,40502,11669,110927,25387,58553,35716,50938,54649,45195,78244,30085,13960,32098,33338,58744,65300,29848,42540,35968,64990,74565,90181,115674,122438,78789,37685,45580,36931,43682,116004,53406,78710,41711,33562,45538,28366,127227,70330,37858,35351,545,13484,9548,36469,92136,9379,5646,16315,5426,8201,11721,13720,3701,9370,23795,4336,25921,62323,104904,72050,91157,116955,33112,4375,19795,23917,26277,15963,13288,36761,76122,5366,20581,14050,42436,25976,21550,94537,156338,220149,62253,48623
"tRNA","ECB_t00002",930,723,121,382,1927,1889,3950,3146,2367,2734,5000,6148,3427,4649,6248,18631,32245,23199,2279,3086,3508,1811,6729,7345,5942,7340,4896,9000,10576,1747,4164,5754,5687,911,3563,10091,9112,2838,2854,15484,12451,6944,13300,15469,21171,2371,4417,19560,35408,4285,3184,5647,4580,4071,6338,3223,1353,9470,23470,1922,3351,7471,27069,1568,27961,29170,39933,9423,14902,5986,13410,8093,28692,10444,18276,10544,18070,15664,7071,14769,8650,4511,9729,11061,19602,29864,9333,12285,9603,16514,16383,20076,35720,34961,18032,11529,14878,14828,13721,33520,14382,17482,13741,6582,9398,8589,28272,15419,10616,8312,315,3996,1934,9709,32911,1539,1943,4616,2063,10447,1618,5216,774,3471,5397,1320,6307,17712,32559,27808,28362,29850,8618,1754,5282,6589,7810,7109,6562,10822,24250,2301,5395,3801,11980,6260,6014,38991,52665,55971,14692,6365
"tRNA","ECB_t00003",9940,9401,2024,4910,10436,11095,17765,36110,41247,8122,13517,13802,7777,9873,12296,32656,59880,81498,13060,12618,12945,6966,17761,24009,22090,21344,50124,13769,25202,2903,7717,6654,8368,1910,7247,20084,12087,5461,4792,18716,16144,9313,34279,20623,54550,4525,7934,41816,103403,7936,5856,13446,12802,8503,11784,6615,2700,32484,30777,4053,5816,10890,62164,2560,57713,85147,88204,26208,25804,15996,29110,18078,51982,18077,35502,22111,28621,39012,21421,34410,20390,10182,28097,28556,47738,87706,14887,24130,17612,31520,28470,30522,59098,53739,36318,18979,21516,18375,16165,42724,18647,22474,20019,10755,16268,12126,55481,32101,25588,16239,551,9394,3869,19902,58550,3984,3749,11300,5715,26531,12010,11812,1753,6630,11508,6874,11497,31596,48084,41348,46372,61581,15334,3436,10021,12958,12990,8781,5310,23266,45212,4362,11443,8198,22361,13512,13952,36945,71955,106370,29525,13158
"tRNA","ECB_t00004",9911,9528,2066,5027,10497,11150,17960,36204,41464,8074,13246,13270,7682,9832,12273,32672,59754,81258,13013,12550,13025,7043,17812,24194,21992,22241,50242,13648,25507,2904,7625,6512,8380,1836,7112,20249,12108,5503,4832,18864,15815,9389,34425,20628,54520,4499,8017,41867,104072,7821,5763,13706,12724,8588,11885,6612,2680,32406,31328,4211,5768,10621,61881,2617,57735,86063,89037,26450,25833,16566,29168,18742,52133,18295,35748,22468,29146,39921,21755,34422,20381,10357,28917,29550,48693,87983,15145,24399,17648,31644,28893,31252,60253,54031,36567,19518,21947,18549,16162,43417,18898,22245,20012,10985,16410,12339,56684,32716,25798,16436,673,9653,3863,20119,58772,3984,3872,11318,5758,26747,12003,11910,1704,6876,11841,6762,11597,32182,48422,41546,46852,62224,15594,3460,10446,13210,12966,8828,5479,23750,45647,4290,11523,8260,22439,13606,14059,36948,72869,107781,29853,13349
"tRNA","ECB_t00005",607,436,293,403,1989,2170,3298,3131,2466,1963,3362,4176,2867,5037,7088,19974,28996,17060,7422,10051,8316,9666,12252,17191,14731,56095,4163,6589,10031,2970,5557,4453,5269,767,1917,7716,8139,3382,2890,15367,9615,9853,15220,12913,17260,2381,5844,24081,28114,3300,5946,10262,3713,4499,9308,5515,419,8417,15700,2251,2600,10346,29309,995,25342,41087,37727,13587,22469,9348,15805,6286,24058,6540,18557,14201,17964,26962,25658,26523,12376,7259,21514,20653,35098,28526,8155,13049,7917,10838,13512,15792,35757,36370,21146,17732,15656,11393,17509,26664,11971,18978,11433,6677,9112,17700,38634,20456,10574,5701,1240,6164,3808,10009,23323,1695,2437,6324,2475,14062,2540,3684,501,3768,6021,962,7049,19954,36837,28094,42648,45443,7968,2161,4421,6101,6774,7906,16894,10747,25043,4325,3678,2339,7706,4713,3375,31478,43836,46305,14828,9273
"tRNA","ECB_t00007",96,100,46,33,188,161,258,373,531,460,560,775,292,489,503,2820,2026,2985,390,796,403,256,734,741,823,1641,701,1431,990,472,392,1160,273,89,510,826,1359,351,375,2782,1095,606,2348,2482,3107,349,525,4617,2736,2082,440,573,451,409,1419,310,25,876,1994,210,673,14315,4086,144,3886,2915,2886,1393,1125,678,1239,1004,1736,751,1709,1279,1686,2183,777,1800,1398,759,1240,763,2092,3216,380,1160,1204,1366,1507,1787,1734,2187,1595,801,1163,743,836,1886,869,1312,793,782,982,894,2816,1817,1348,882,7,742,324,692,5893,194,130,320,125,539,265,623,132,347,623,79,546,940,3558,1946,5832,9584,885,257,893,755,610,245,274,857,1584,232,400,287,540,671,533,1259,2683,3905,1226,718
"tRNA","ECB_t00008",413,291,27,163,897,851,1124,2352,940,1038,1819,2089,1233,1555,2363,6405,11869,12160,965,1193,1187,784,2249,2419,2447,3039,2282,2704,2595,576,945,1415,1364,177,675,1829,1781,601,711,3566,2402,1387,4746,2723,6088,510,1224,3878,5399,513,923,1785,1203,957,2131,774,67,1622,4487,578,632,3151,5211,139,4711,9978,11990,3089,5079,2159,4193,3023,7018,2901,5478,3723,4750,6641,4112,6735,4363,3287,6132,5428,7557,9140,2208,3205,2453,3831,3810,4793,8408,7743,3703,2681,3530,2694,3108,6339,3173,4128,3236,1551,2279,2481,7706,4307,2619,1383,66,2038,722,2371,8322,465,392,1182,649,1907,351,768,187,1177,1413,274,2238,2889,8021,6441,8661,13376,2201,577,1382,1860,2051,1214,1101,2638,6609,642,1411,886,3090,1558,1359,6176,10655,14160,3887,2197
"tRNA","ECB_t00009",392,278,23,180,854,821,1181,2369,919,987,1802,2121,1213,1632,2471,6390,12196,11965,1002,1245,1251,730,2256,2370,2443,2934,2253,2680,2584,584,914,1476,1404,154,673,1827,1779,583,693,3640,2438,1465,4600,2762,6209,535,1214,3828,5260,491,897,1820,1212,910,2139,786,67,1552,4266,535,637,3210,5301,136,4671,9937,11740,3020,4939,2087,4133,2950,6828,2889,5308,3754,4486,6498,4110,6599,4425,3286,6792,6151,7605,9319,2272,3092,2467,3795,3727,4745,8388,7596,3816,2723,3434,2596,3213,6256,3075,3900,3133,1451,2220,2413,7745,4116,2734,1316,73,2053,682,2321,8528,482,408,1140,597,1948,386,793,230,1115,1460,285,2178,2783,7955,6467,8482,13461,2303,543,1406,1793,1994,1177,1176,2789,6438,622,1456,883,2942,1530,1380,6150,10473,13809,3804,2291
"tRNA","ECB_t00010",33,31,1,21,103,101,200,262,400,77,171,186,131,176,289,964,1068,987,165,322,242,183,410,579,556,802,156,651,745,153,255,314,304,60,203,500,408,173,198,700,507,473,1306,443,1245,130,213,895,2368,77,177,418,306,329,441,254,90,654,777,139,126,253,1576,73,1973,4759,4171,1265,1395,683,1238,672,2407,637,1354,1207,1216,1724,517,959,860,725,1905,1265,1854,706,666,833,609,999,1159,1126,2537,1732,1147,520,598,561,392,2319,575,895,432,349,453,497,1656,970,637,313,9,494,98,845,2284,103,98,245,97,173,189,157,67,285,331,63,378,1423,2028,1971,2714,2390,426,110,333,542,515,473,350,924,2393,163,381,191,788,491,371,2384,3896,4175,1344,550
"tRNA","ECB_t00011",225,119,61,103,404,303,536,652,476,346,638,705,441,643,845,2876,4427,3188,415,643,655,455,1303,1188,1532,1751,447,1589,1425,366,612,944,780,108,474,1078,1309,389,395,1876,1523,983,1949,1374,2614,351,630,2623,3222,195,520,977,572,424,1419,530,75,855,2121,270,350,618,3020,87,2815,5594,6456,1735,2861,1097,2152,1646,3681,1663,2984,2129,2508,3129,1854,3159,2068,1491,3724,3186,4462,3132,1126,1662,1176,1901,1981,2245,4550,3430,1961,1238,1324,913,1156,3353,1379,1644,1214,623,1142,1202,3590,1992,1141,584,99,747,224,1210,2776,262,171,451,224,217,170,264,107,676,697,130,967,2104,3336,3074,3482,4866,1050,305,662,984,1022,864,686,1470,3775,351,688,430,1475,823,685,4148,6613,7642,2249,1235
"tRNA","ECB_t00012",246,151,63,115,395,301,485,629,480,376,701,772,450,645,899,2844,4433,3317,431,654,665,468,1384,1231,1572,1799,468,1608,1500,339,540,844,919,99,456,1131,1221,376,457,1978,1578,997,1916,1421,2756,348,708,2508,3487,137,615,988,608,543,1390,542,78,880,2111,319,316,585,2985,87,2659,5840,6617,1874,2856,1135,2247,1737,3857,1652,3172,2185,2496,3306,1874,3383,2114,1547,3761,3529,4518,3210,1230,1793,1155,1987,2029,2281,4511,3564,1929,1326,1378,1020,1156,3425,1409,1637,1256,642,1155,1214,3800,1959,1238,549,95,685,220,1299,2849,283,185,483,197,222,150,278,132,685,757,106,1039,2253,3314,3123,3425,5014,1138,333,681,1040,1119,878,667,1542,3955,358,720,445,1583,766,677,4168,6580,7820,2273,1181
"tRNA","ECB_t00013",1889,2064,171,854,3199,3809,5850,3899,11102,2560,3664,4685,2444,4093,5327,19760,9169,13249,2699,6096,4662,1724,8941,9027,8466,2417,4786,10832,7769,2679,5689,6874,5232,1071,4512,11509,12803,3650,2304,14149,10687,5285,10509,14281,11344,2276,5179,45363,13499,4791,4055,4143,2234,1333,10248,1541,296,2500,21289,1351,2620,13834,37525,1236,13640,13662,16837,5412,5514,2774,6400,5943,16059,5533,14014,6049,15311,10603,4066,9830,7005,3462,9345,4180,8342,15400,3416,7304,7825,9848,7809,9719,8690,13881,12136,3699,3663,4187,4198,10912,6019,6090,6162,4001,7838,4920,13347,8207,5216,6630,118,2757,1608,3658,11201,1733,1206,2889,803,1413,983,2789,867,1578,3835,1427,1934,7640,13881,10602,14894,19806,5875,1669,4784,4635,3124,3376,3801,7034,7884,1693,2516,2419,3913,4589,5236,13712,23032,32043,6363,4312
"tRNA","ECB_t00014",47,58,4,41,77,107,202,279,430,135,293,283,184,198,255,843,1048,1049,173,327,286,190,407,689,626,886,159,675,813,156,282,336,324,59,187,512,522,171,189,733,509,523,1233,497,1304,122,253,975,2318,67,226,450,294,356,496,302,104,692,856,165,139,279,1610,71,2115,5276,4272,1498,1391,923,1300,707,2312,744,1450,1315,1291,1919,515,1010,887,778,1822,1293,1850,747,703,895,571,1107,1236,1242,2590,1728,1121,559,674,516,410,2447,560,913,436,361,486,480,1682,1001,638,325,11,581,115,908,2276,149,94,233,99,154,188,162,54,304,337,75,379,1426,2073,1973,2704,2411,447,104,357,534,476,460,345,897,2527,160,406,259,841,465,391,2435,3943,4249,1398,567
"tRNA","ECB_t00015",61,74,14,48,119,176,308,580,423,309,444,620,348,357,405,1452,1825,1967,281,508,451,247,527,611,630,2455,445,768,938,175,345,454,311,72,306,684,637,196,282,1080,695,735,1865,1219,2606,375,438,2196,3618,537,459,601,558,643,986,450,45,1243,2070,361,397,1013,2917,98,3452,6242,4609,2145,1643,1209,1733,1315,3089,1042,2382,1973,1954,2809,988,1806,1440,453,1170,759,2041,1736,942,1439,1239,1975,2145,2665,3399,2584,1956,994,1590,1426,791,3407,1049,1665,1026,922,907,693,2977,1698,1551,841,24,1042,314,1443,2763,320,195,463,244,1998,342,587,118,476,588,119,764,2825,2116,2173,2420,2485,774,179,576,798,677,751,512,1073,2516,177,588,341,1074,703,471,3271,4930,4685,1535,808
"tRNA","ECB_t00016",564,510,271,276,851,813,1953,2888,3243,1574,2821,3252,1977,2578,3351,15324,16908,18590,2529,6156,2440,1168,3782,5270,5742,3646,5343,4647,3158,1396,2118,3140,1488,384,2890,4011,5780,1425,1369,5754,4320,2663,11564,7785,13950,1549,3181,22945,18513,6541,2557,2412,2319,1882,7564,2025,228,4032,9262,1009,1783,30171,18662,705,10702,9899,12365,3492,5644,1898,4225,3253,9721,3816,9023,5285,8312,11293,4186,9071,5783,2872,6750,5383,15556,30356,2323,6457,6229,7413,6758,7893,9431,10790,7586,3437,3934,3432,3240,9338,4441,5875,4896,3768,5178,3419,10332,7603,6269,5066,140,4005,2510,4797,26243,1424,1238,3048,1852,19394,682,3147,483,1627,2461,613,1566,6043,21231,15060,19381,25125,4398,1029,3206,4374,2654,2369,2281,4127,8502,1261,1749,1510,3352,3011,2971,9662,15257,18495,6648,2965
"tRNA","ECB_t00017",43,47,3,28,144,137,286,530,364,250,386,477,252,259,396,1309,1784,1634,248,420,402,195,453,562,546,2357,407,653,830,152,284,450,289,53,275,581,574,171,254,1090,695,731,1585,1115,2123,223,346,1524,3122,477,336,450,403,447,608,314,41,1142,2009,284,295,831,2803,88,3026,4976,4215,1614,1455,947,1478,846,2775,795,1755,1295,1583,1938,779,1360,878,302,952,738,1436,1482,884,1067,949,1553,1522,2009,3103,2376,1514,893,1620,1360,798,2646,973,1545,926,676,823,664,2602,1468,1161,637,29,812,278,1022,2693,215,188,448,211,1862,284,507,90,373,546,102,700,2696,1911,2083,2163,2128,638,164,530,621,604,745,472,961,2213,152,465,274,875,589,444,3098,4521,4367,1327,788
"tRNA","ECB_t00018",543,511,279,292,830,849,1894,3079,3228,1664,2762,3349,2062,2789,3292,15348,17377,18948,2590,6101,2390,1233,3521,5463,5835,3857,5327,4533,3213,1427,2091,3175,1531,398,2951,4032,5823,1545,1291,5775,4254,2688,11779,7754,13703,1580,3172,22932,18513,6624,2540,2448,2259,1838,7652,1914,223,4129,9215,1008,1816,30016,18720,678,10787,9852,12301,3508,5778,1917,4231,3399,9618,3906,9104,5301,8440,11510,4333,9245,5863,2898,6951,5338,15688,30650,2410,6564,6342,7492,6801,8036,9386,11007,7688,3303,3961,3456,3377,9714,4574,5915,5003,3899,5117,3442,10331,7629,6199,5099,128,3974,2597,4726,26357,1391,1203,3269,1801,19381,660,3140,501,1664,2433,570,1629,6193,20969,14921,19540,25304,4503,1057,3107,4520,2622,2406,2322,4020,8669,1259,1794,1515,3512,3029,3065,9953,15640,18773,6587,2990
