"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco01230:Biosynthesis of amino acids",99,7.04626334519573,6.87762762820433e-19,"946551, 948364, 946552, 948409, 946204, 945642, 947939, 948522, 948313, 946179, 948412, 947407, 947927, 948531, 946549, 946877, 946680, 944798, 948278, 946210, 946544, 945527, 945528, 948277, 947498, 948370, 947679, 947724, 947723, 947414, 945034, 947415, 945031, 945032, 944762, 946888, 945768, 948433, 948182, 947313, 948183, 948434, 2847724, 947896, 948258, 945198, 947420, 945803, 945553, 946952, 945605, 947267, 946240, 947262, 948323, 947590, 944748, 946724, 945109, 946516, 946515, 944955, 948455, 948456, 946814, 948126, 945258, 2847759, 945323, 947115, 947084, 945076, 947633, 948774, 947081, 947776, 945519, 946229, 945846, 946531, 948287, 948286, 945068, 947864, 948913, 946230, 947465, 948513, 946425, 946521, 948463, 948464, 946527, 945389, 947022, 944864, 945380, 948793, 948563",708,118,1575,1.86638178684286,7.77171921987089e-17,7.77171921987089e-17,7.80906140181423e-16
"2","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",198,14.0925266903915,1.45111257837717e-17,"948364, 944887, 945642, 946204, 948522, 948362, 948666, 949129, 945017, 947880, 946607, 948667, 948926, 946200, 945153, 945837, 947364, 945939, 948535, 948673, 944895, 944794, 948531, 944798, 948278, 946210, 945528, 948277, 947498, 947496, 947679, 947353, 948545, 945034, 945031, 945032, 945763, 948541, 944762, 948643, 945768, 948102, 947895, 947896, 945611, 948258, 945803, 945553, 948857, 945605, 947267, 946240, 947262, 948320, 948323, 945686, 948027, 946516, 945109, 946515, 948126, 2847759, 947115, 947084, 946278, 947390, 947394, 947633, 947081, 948774, 947776, 945519, 946229, 948503, 948504, 945271, 947761, 946531, 946906, 946230, 948513, 945654, 946234, 945281, 946521, 946794, 946527, 945389, 946624, 947758, 947759, 948899, 946796, 945380, 948793, 946957, 948690, 946551, 946552, 948409, 947939, 2847717, 947532, 946554, 946179, 946858, 948410, 948412, 948497, 947331, 947032, 948418, 947407, 947927, 946680, 946549, 946877, 946682, 946544, 948307, 946973, 946165, 947932, 946975, 947724, 947723, 947414, 946747, 946741, 947415, 944943, 946572, 946888, 947059, 948431, 948433, 948182, 948183, 947313, 947922, 946370, 948434, 946058, 949033, 2847724, 949031, 946892, 944817, 945198, 947420, 946147, 946368, 945695, 946952, 945097, 945312, 945314, 947590, 946720, 944748, 946724, 944958, 944955, 948455, 948456, 945307, 946814, 945323, 944834, 944839, 945076, 946727, 944840, 948446, 946066, 947454, 947457, 946702, 948087, 945848, 945846, 948287, 948286, 946985, 945064, 947864, 945068, 945303, 947465, 945300, 946712, 948463, 948464, 947022, 946991, 947854, 944864, 948563",708,294,1575,1.49818401937046,1.6397572135662e-15,8.19878606783101e-16,1.6476360509868e-14
"3","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",134,9.53736654804271,2.07068026581281e-12,"946957, 948364, 946551, 948409, 947939, 2847717, 948666, 948667, 945154, 946200, 945153, 946554, 946179, 945837, 946858, 948412, 947032, 947407, 947927, 948535, 944895, 944794, 948531, 946680, 946877, 948278, 945730, 946210, 945527, 948277, 945528, 946973, 947679, 947353, 946975, 947724, 947723, 947414, 944943, 945034, 947415, 945031, 945032, 946572, 948246, 946888, 944762, 948241, 948433, 948182, 948183, 947313, 946370, 947217, 948434, 947219, 948102, 947895, 947896, 2847724, 945611, 949031, 947420, 945803, 947692, 946147, 945553, 946368, 945695, 945097, 946952, 945605, 947267, 945312, 945314, 947262, 948320, 947590, 944748, 946724, 944955, 948455, 948456, 945307, 946814, 945258, 2847759, 945323, 944834, 947115, 947084, 947390, 945129, 947394, 946727, 947632, 947633, 947081, 948774, 947776, 946066, 947457, 946229, 946702, 948503, 948087, 948504, 947761, 945271, 948287, 948286, 945064, 947864, 945068, 948913, 946230, 945303, 945300, 946712, 946234, 946425, 946794, 948463, 948464, 946527, 947022, 947854, 946991, 944864, 947758, 946796, 945380, 948563, 948793",708,195,1575,1.52868318122555,2.33986496844807e-10,7.7995498948269e-11,2.35110819701845e-09
"4","KEGG_PATHWAY","eco01100:Metabolic pathways",376,26.7615658362989,1.56268363537419e-10,"948364, 944888, 945012, 944887, 946204, 945642, 948522, 945645, 948362, 944882, 944881, 948666, 949129, 945017, 947880, 948667, 946607, 944789, 945154, 945539, 948926, 945013, 946200, 945153, 945217, 945542, 946612, 945837, 948869, 945351, 946003, 945540, 945444, 947366, 945939, 945358, 948376, 944790, 948535, 944895, 948673, 948372, 944794, 948531, 946406, 948278, 944798, 945730, 946210, 945527, 948277, 945528, 947498, 945535, 947496, 945222, 948370, 947679, 946209, 947353, 948545, 948247, 945034, 945134, 946806, 945031, 945032, 948243, 948244, 948245, 945763, 948246, 947285, 948541, 948643, 945766, 944762, 948241, 948242, 945768, 945568, 945615, 948102, 947895, 947896, 945611, 945041, 945146, 948258, 944775, 948254, 948252, 948253, 945803, 945553, 945748, 947692, 948857, 944768, 947270, 946802, 947794, 945605, 946261, 945787, 947267, 946260, 946240, 947262, 945785, 948320, 948323, 945113, 945686, 947121, 948027, 945109, 946516, 946515, 948767, 948121, 948763, 946925, 948126, 946924, 945258, 2847759, 945394, 947117, 947116, 947115, 947253, 948638, 947084, 946255, 946116, 946278, 947390, 945129, 947394, 948135, 947632, 947633, 948774, 947081, 947776, 946648, 946915, 948037, 946646, 945519, 946628, 946229, 948503, 948504, 945663, 947761, 945271, 946531, 945370, 946906, 946785, 948913, 947230, 946230, 945006, 947231, 948513, 946518, 945654, 948356, 948150, 947239, 945281, 946794, 946521, 945387, 946527, 945389, 948791, 946799, 945384, 947758, 946624, 947759, 945514, 946796, 948899, 945380, 948793, 948607, 946551, 948690, 946957, 948409, 946552, 947939, 2847717, 948695, 946768, 947532, 948163, 946554, 947334, 948160, 948313, 946858, 946179, 944919, 947039, 948412, 946759, 948492, 948494, 948497, 947331, 948418, 947032, 947407, 946775, 947927, 946778, 946877, 946549, 946680, 946682, 946544, 948307, 946973, 946165, 948488, 946162, 948487, 947932, 946975, 947724, 947723, 947414, 947726, 946746, 947413, 946747, 944943, 947415, 946741, 949047, 946677, 949048, 946571, 946572, 946888, 948431, 947059, 948433, 948182, 947313, 948183, 947922, 946370, 947923, 947217, 948434, 946738, 946058, 946153, 947219, 947719, 949040, 947715, 949033, 2847724, 949031, 947907, 946892, 946753, 948053, 946663, 946946, 949035, 946665, 946947, 944817, 944818, 945198, 947420, 944813, 946367, 946147, 946368, 945695, 947221, 945097, 946952, 946144, 945290, 945310, 945312, 947432, 945314, 946597, 945080, 947590, 946720, 944748, 947703, 946724, 946719, 944958, 944955, 948455, 946459, 948456, 948457, 945307, 946814, 945870, 945323, 944834, 944839, 946732, 947580, 947583, 947445, 945076, 945882, 946727, 948584, 948446, 944840, 947004, 946066, 947454, 947457, 946702, 945848, 948087, 946979, 948088, 945846, 944984, 948287, 948286, 948470, 946332, 945064, 946985, 947864, 946334, 945068, 948479, 945303, 948714, 947465, 945455, 945300, 945451, 948987, 946712, 944996, 947947, 946425, 948463, 948464, 947022, 946993, 946186, 946321, 947854, 946991, 944864, 944865, 949134, 946085, 948564, 948467, 948563",708,697,1575,1.20005836150086,1.76583213606918e-08,4.41458036792852e-09,1.7743168045925e-07
"5","KEGG_PATHWAY","eco00400:Phenylalanine, tyrosine and tryptophan biosynthesis",21,1.49466192170819,1.15520973335337e-06,"946551, 947927, 947115, 945519, 946204, 947084, 945031, 946229, 946210, 945846, 946200, 945528, 945768, 945109, 945553, 947081, 947776, 946814, 2847759, 945605, 948563",708,21,1575,2.22457627118644,0.000130530255449401,2.61074142484663e-05,0.00131165138255174
"6","KEGG_PATHWAY","eco01210:2-Oxocarboxylic acid metabolism",22,1.56583629893238,0.000180331054559294,"945323, 945642, 947267, 947939, 947465, 948531, 944798, 948278, 946724, 948277, 945076, 945553, 948464, 948286, 948182, 948183, 948455, 948456, 944864, 947864, 945380, 948793",708,26,1575,1.88233376792699,0.0201729933497474,0.00339077940035248,0.20456215156418
"7","KEGG_PATHWAY","eco03010:Ribosome",50,3.55871886120996,0.000832086457516949,"947577, 948490, 947800, 947801, 947802, 947803, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 947828, 947874, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 945657, 947806, 947804, 948216, 947809, 947808, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 948425, 947791",708,78,1575,1.42601043024772,0.0897763224758747,0.0133479595536806,0.94071612759401
"8","KEGG_PATHWAY","eco00260:Glycine, serine and threonine metabolism",26,1.85053380782918,0.00230756739855665,"946204, 947939, 947262, 945768, 947059, 948433, 948287, 944955, 945068, 945258, 945939, 948913, 2847724, 948531, 945198, 947390, 945527, 945129, 945803, 947394, 947498, 947632, 947633, 947022, 948139, 946085",708,36,1575,1.6066384180791,0.229762549708267,0.0321053732884465,2.58900317483873
"9","KEGG_PATHWAY","eco01200:Carbon metabolism",64,4.55516014234875,0.00253048440866271,"948409, 945312, 945314, 947262, 948666, 948667, 944748, 946554, 946724, 946179, 946858, 948412, 948457, 945307, 948126, 945258, 946775, 947407, 945323, 944834, 948535, 944895, 946778, 948372, 944794, 946877, 947390, 945527, 947394, 946727, 947633, 947679, 948584, 946209, 946066, 947414, 947415, 945032, 946702, 946888, 944984, 947761, 948287, 946370, 945068, 948913, 2847724, 947896, 945303, 946230, 945300, 946947, 947420, 946234, 946367, 946147, 948857, 946527, 947022, 947854, 944864, 947758, 946796, 945380",708,108,1575,1.31826741996234,0.248968090689391,0.0313112288983509,2.83584138592266
"10","KEGG_PATHWAY","eco00290:Valine, leucine and isoleucine biosynthesis",14,0.99644128113879,0.00322921757398179,"945642, 947267, 947465, 948087, 944798, 948278, 948277, 945076, 948287, 948286, 948182, 948183, 947633, 948793",708,16,1575,1.94650423728814,0.306144831117971,0.035889344467652,3.60586414627547
"11","KEGG_PATHWAY","eco00061:Fatty acid biosynthesis",12,0.854092526690391,0.00391643131119509,"944888, 947761, 945568, 945645, 944895, 946665, 946003, 946799, 947758, 946796, 945870, 945766",708,13,1575,2.05345501955671,0.358166034254666,0.0395097241021782,4.35776010641857
